item_type,item_name,satuan,price_min,price_max,source_url
material,Bata merah,per buah,650,1500,"[2], [3], [10], [12], https://sobatbangun.com/artikel/harga-material-bangunan-terbaru/"
material,Bata ringan (Hebel),m3,480000,3100000,"[10], [12], https://sobatbangun.com/artikel/harga-material-bangunan-terbaru/"
material,Batu belah,m3,200000,450000,"[2], [12], https://sobatbangun.com/artikel/harga-material-bangunan-terbaru/"
material,Besi Hollow (Various Sizes),batang,37300,1268900,[22]
material,Besi beton 10 mm,batang,54900,115000,"[2], [3], [10], [12], https://sobatbangun.com/artikel/harga-material-bangunan-terbaru/"
material,Besi beton 12 mm,batang,84000,141200,"[2], [12], [17], https://sobatbangun.com/artikel/harga-material-bangunan-terbaru/"
material,Besi beton 8 mm,batang,32900,69800,"[2], [10], [12], https://sobatbangun.com/artikel/harga-material-bangunan-terbaru/"
material,Cat eksterior,kaleng,113000,400000,"[2], https://sobatbangun.com/artikel/harga-material-bangunan-terbaru/"
material,Cat interior,kaleng,88000,300000,"[2], [12], https://sobatbangun.com/artikel/harga-material-bangunan-terbaru/"
material,Keramik lantai,dus,36000,105000,"[2], https://sobatbangun.com/artikel/harga-material-bangunan-terbaru/, https://www.tokopedia.com/search?q=ANEKA+Keramik+Putih+Polos+Ukuran+40X40+%28BATAM%29"
material,Kerikil (maks 30mm),m3,250000,450000,"[2], [10], [12]"
material,Pasir Cor,m3,250000,400000,"[2], [10], [12], [15], [16], https://sobatbangun.com/artikel/harga-material-bangunan-terbaru/"
material,Pasir m³,m3,195750,350000,"[2], [13], [12], [14]"
material,Pasir urug,m3,150000,250000,"[2], [13], [14], https://sobatbangun.com/artikel/harga-material-bangunan-terbaru/"
material,Pemasangan Beton (Beton Mutu K 100-K 500),m3,1080081,1640308,[21]
material,"Pipa PVC Rucika AW (Batam) - 1""",batang,100000,100000,https://www.tokopedia.com/aneka-material-bangunan/aneka-pipa-air-pvc-rucika-aw-standard-batam-1-1
material,Semen (50 kg),sak,60000,110000,"[2], [3], [10], [11], [12]"
material,Semen Andalas (Batam Area),sak,60000,65000,[23]
upah_borongan,Galian Tanah Pondasi,m3,70000,98000,"[18], [3], [4], [5], [19], [6]"
upah_borongan,Pasang Atap,m2,99000,132500,"[18], [9], [2], [4], [5], [6]"
upah_borongan,Pasang Bata,m2,30000,105000,"[18], [9], [2], [3], [4], [5], [19]"
upah_borongan,Pasang Keramik Lantai,m2,37000,68000,"[18], [9], [2], [3], [4], [5], [19], [6]"
upah_borongan,Pasang Kusen Pintu,unit,122000,180000,"[18], [4], [5], [19], [6]"
upah_borongan,Pasang Plafon,m2,35000,50000,"[18], [4], [5], [19], [6]"
upah_borongan,Pemasangan Beton,m3,40000,115000,"[9], [2], [5], [6]"
upah_borongan,Pengecatan Dinding,m2,17000,25000,"[18], [3], [4], [6]"
upah_borongan,Plesteran,m2,38500,85000,"[18], [9], [2], [3], [4], [19]"
upah_harian,Kepala Tukang,orang/hari,125000,230000,"[1], [2], [3], [4], [5], [6], [8]"
upah_harian,Mandor,orang/hari,100750,260000,"[9], [1], [2], [3], [8]"
upah_harian,Pembantu Tukang,orang/hari,75000,210000,"[1], [2], [3], [4], [5], [6], [7], [8], https://www.talenta.co/blog/cara-menghitung-cara-hitung-gaji-karyawan-per-jam-harian-perhari/"
upah_harian,Tukang Batu,orang/hari,100000,270000,"[9], [1], [2], [4], [6], [7], [8]"
upah_harian,Tukang Besi,orang/hari,120000,270000,"[9], [1], [2], [4], [7], [8]"
upah_harian,Tukang Cat,orang/hari,70000,178599,"[9], [1], [2], [4], [6], [8]"
upah_harian,Tukang Gali Tanah,orang/hari,75750,270000,"[9], [1], [5], [6], [7]"
upah_harian,Tukang Kayu,orang/hari,110000,270000,"[9], [1], [2], [4], [6], [7], [8]"
upah_harian,Tukang Las,orang/hari,110000,166729,"[9], [6]"
upah_harian,Tukang Listrik,orang/hari,110000,270000,"[5], [6], [7]"
